epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1549.24,1.33542,1.10483,1.50936,0.92675,0.89979,0.95783,0.6446,1.0735,0.73701,1.32929,0.000874842,0.000874842,0.000874842
98,1567.78,1.15156,0.99792,1.3327,0.91486,0.89063,0.95083,0.68202,1.00328,0.69414,1.27171,0.00086659,0.00086659,0.00086659
99,1584.14,1.29713,1.09809,1.42863,0.90888,0.8839,0.95547,0.68251,0.96135,0.67591,1.25049,0.000858338,0.000858338,0.000858338
100,1603.6,1.26324,1.16336,1.44623,0.91594,0.88369,0.95703,0.65837,0.97487,0.67089,1.26952,0.000850087,0.000850087,0.000850087
101,1620.19,1.18957,1.00903,1.35045,0.89269,0.88925,0.95415,0.68662,0.92602,0.65131,1.23943,0.000841835,0.000841835,0.000841835
102,1637.12,1.17436,1.03745,1.33253,0.86718,0.89616,0.93861,0.66099,1.0234,0.70983,1.30434,0.000833583,0.000833583,0.000833583
103,1651.81,1.22737,1.10594,1.42286,0.9088,0.8979,0.95609,0.68402,1.04074,0.72592,1.29164,0.000825332,0.000825332,0.000825332
104,1670.02,1.27467,1.1608,1.399,0.88032,0.88739,0.94521,0.67535,1.09475,0.73673,1.34171,0.00081708,0.00081708,0.00081708
105,1683.24,1.23975,1.05527,1.388,0.89848,0.90221,0.95304,0.65836,1.05795,0.70169,1.30511,0.000808828,0.000808828,0.000808828
106,1702.91,1.19625,1.00513,1.34933,0.91383,0.87211,0.95982,0.68541,0.9986,0.65496,1.26451,0.000800577,0.000800577,0.000800577
107,1718.37,1.20653,0.96892,1.37018,0.92478,0.91248,0.96489,0.71131,0.93669,0.63642,1.23679,0.000792325,0.000792325,0.000792325
108,1740.99,1.11154,0.9908,1.33639,0.91465,0.88659,0.95802,0.67389,1.01198,0.68255,1.28258,0.000784073,0.000784073,0.000784073
109,1758.43,1.17331,0.9712,1.37405,0.90685,0.91288,0.9649,0.72036,0.93055,0.62343,1.21726,0.000775822,0.000775822,0.000775822
110,1773.97,1.14294,0.96455,1.31283,0.90384,0.90054,0.9509,0.70627,0.90029,0.63295,1.20573,0.00076757,0.00076757,0.00076757
111,1789.95,1.13778,1.00614,1.3176,0.91226,0.9134,0.96687,0.7099,0.90311,0.61746,1.20966,0.000759318,0.000759318,0.000759318
112,1808.34,1.14868,0.99528,1.32316,0.93637,0.92022,0.97361,0.72125,0.90973,0.6125,1.20649,0.000751067,0.000751067,0.000751067
113,1825.49,1.14925,0.98655,1.35155,0.90874,0.90272,0.96302,0.72951,0.9083,0.58081,1.21574,0.000742815,0.000742815,0.000742815
114,1848.58,1.35559,1.12819,1.68468,0.92208,0.91902,0.95851,0.72052,0.86204,0.58335,1.19637,0.000734564,0.000734564,0.000734564
115,1863.26,1.08314,0.90399,1.29216,0.91658,0.91195,0.95514,0.71147,0.88562,0.6225,1.19811,0.000726312,0.000726312,0.000726312
116,1880.3,1.14447,0.97376,1.34436,0.92184,0.92175,0.96089,0.72062,0.84011,0.59737,1.18486,0.00071806,0.00071806,0.00071806
117,1896.38,1.13726,0.97564,1.33999,0.91731,0.89971,0.95294,0.70624,0.83367,0.60153,1.1734,0.000709809,0.000709809,0.000709809
118,1914.31,1.11634,0.98537,1.26532,0.90507,0.92051,0.95805,0.72974,0.79914,0.59198,1.1543,0.000701557,0.000701557,0.000701557
119,1930.03,1.12801,0.97729,1.34492,0.9164,0.92431,0.95433,0.7365,0.80594,0.58681,1.15787,0.000693305,0.000693305,0.000693305
120,1953.48,1.09622,0.88196,1.29061,0.9113,0.92689,0.95924,0.75444,0.77061,0.57367,1.13606,0.000685054,0.000685054,0.000685054
121,1971.54,1.12675,0.95465,1.30528,0.90743,0.92555,0.96659,0.7381,0.82421,0.5869,1.16835,0.000676802,0.000676802,0.000676802
122,1990.53,1.1149,0.93038,1.29993,0.89774,0.93898,0.9684,0.74696,0.81443,0.57743,1.15493,0.00066855,0.00066855,0.00066855
123,2006.9,1.10311,0.95221,1.299,0.91278,0.93368,0.96788,0.75047,0.77998,0.57214,1.14248,0.000660299,0.000660299,0.000660299
124,2026.3,1.0165,0.84425,1.24311,0.9173,0.93558,0.96869,0.73924,0.82983,0.60324,1.16258,0.000652047,0.000652047,0.000652047
125,2043.62,1.04137,0.87029,1.26242,0.92592,0.94949,0.97575,0.76538,0.77355,0.56216,1.12246,0.000643795,0.000643795,0.000643795
126,2061.09,1.04206,0.87706,1.26891,0.93287,0.93563,0.9732,0.76438,0.72541,0.53765,1.1127,0.000635544,0.000635544,0.000635544
